head_type	head	relation	tail_type	tail
type0	type0:node_0	rel_0	type1	type1:node_49
type0	type0:node_0	rel_2	type1	type1:node_4
type1	type1:node_1	rel_0	type2	type2:node_11
type0	type0:node_135	rel_1	type1	type1:node_13
type2	type2:node_20	rel_2	type1	type1:node_34
type2	type2:node_47	rel_0	type0	type0:node_192
type0	type0:node_60	rel_0	type0	type0:node_36
type2	type2:node_164	rel_0	type1	type1:node_1
type1	type1:node_139	rel_1	type1	type1:node_82
type0	type0:node_6	rel_2	type1	type1:node_46
type0	type0:node_3	rel_2	type1	type1:node_52
type1	type1:node_28	rel_0	type2	type2:node_5
type1	type1:node_1	rel_2	type0	type0:node_18
type0	type0:node_0	rel_1	type1	type1:node_10
type2	type2:node_53	rel_3	type0	type0:node_6
type0	type0:node_36	rel_0	type1	type1:node_19
type1	type1:node_1	rel_1	type0	type0:node_168
type2	type2:node_35	rel_1	type1	type1:node_115
type1	type1:node_19	rel_2	type0	type0:node_0
type0	type0:node_144	rel_0	type1	type1:node_100
type0	type0:node_144	rel_1	type1	type1:node_4
type0	type0:node_60	rel_3	type0	type0:node_12
type1	type1:node_184	rel_1	type0	type0:node_84
type2	type2:node_128	rel_1	type2	type2:node_185
type1	type1:node_136	rel_2	type0	type0:node_0
type2	type2:node_95	rel_1	type2	type2:node_17
type0	type0:node_6	rel_0	type1	type1:node_97
type2	type2:node_14	rel_3	type0	type0:node_0
type1	type1:node_4	rel_3	type0	type0:node_108
type2	type2:node_11	rel_1	type1	type1:node_109
type1	type1:node_4	rel_3	type1	type1:node_58
type1	type1:node_10	rel_2	type2	type2:node_128
type2	type2:node_11	rel_2	type2	type2:node_29
type2	type2:node_164	rel_2	type1	type1:node_1
type0	type0:node_3	rel_2	type0	type0:node_177
type0	type0:node_0	rel_2	type2	type2:node_44
type2	type2:node_77	rel_0	type0	type0:node_9
type2	type2:node_14	rel_2	type1	type1:node_40
type0	type0:node_0	rel_1	type1	type1:node_19
type1	type1:node_13	rel_2	type0	type0:node_0
type2	type2:node_50	rel_0	type2	type2:node_59
type0	type0:node_75	rel_2	type2	type2:node_8
type0	type0:node_60	rel_2	type1	type1:node_10
type0	type0:node_36	rel_3	type0	type0:node_3
type0	type0:node_63	rel_2	type2	type2:node_146
type1	type1:node_16	rel_2	type1	type1:node_115
type1	type1:node_7	rel_2	type1	type1:node_19
type2	type2:node_23	rel_1	type2	type2:node_20
type2	type2:node_29	rel_1	type0	type0:node_99
type1	type1:node_58	rel_2	type1	type1:node_7
type1	type1:node_1	rel_1	type0	type0:node_171
type2	type2:node_62	rel_1	type1	type1:node_4
type2	type2:node_2	rel_3	type0	type0:node_0
type2	type2:node_47	rel_3	type0	type0:node_90
type2	type2:node_17	rel_1	type0	type0:node_51
type2	type2:node_74	rel_3	type2	type2:node_14
type2	type2:node_5	rel_0	type0	type0:node_57
type0	type0:node_141	rel_0	type0	type0:node_126
type1	type1:node_94	rel_3	type1	type1:node_4
type0	type0:node_0	rel_0	type2	type2:node_5
type1	type1:node_22	rel_2	type0	type0:node_102
type2	type2:node_170	rel_3	type2	type2:node_140
type2	type2:node_113	rel_1	type2	type2:node_35
type1	type1:node_82	rel_2	type0	type0:node_24
type1	type1:node_85	rel_2	type0	type0:node_117
type2	type2:node_89	rel_1	type1	type1:node_31
type1	type1:node_7	rel_2	type0	type0:node_0
type2	type2:node_5	rel_0	type1	type1:node_10
type2	type2:node_2	rel_1	type1	type1:node_4
type2	type2:node_71	rel_3	type0	type0:node_0
type1	type1:node_10	rel_0	type2	type2:node_23
type1	type1:node_4	rel_0	type0	type0:node_18
type2	type2:node_125	rel_3	type2	type2:node_89
type0	type0:node_24	rel_2	type1	type1:node_166
type1	type1:node_85	rel_3	type0	type0:node_123
type0	type0:node_33	rel_1	type1	type1:node_79
type2	type2:node_26	rel_3	type0	type0:node_6
type0	type0:node_0	rel_3	type1	type1:node_10
type1	type1:node_76	rel_1	type1	type1:node_118
type2	type2:node_188	rel_3	type0	type0:node_33
type1	type1:node_43	rel_0	type2	type2:node_59
type0	type0:node_54	rel_3	type1	type1:node_1
type0	type0:node_3	rel_2	type0	type0:node_6
type1	type1:node_4	rel_3	type1	type1:node_10
type1	type1:node_7	rel_3	type0	type0:node_171
type2	type2:node_5	rel_0	type0	type0:node_0
type0	type0:node_84	rel_2	type0	type0:node_0
type1	type1:node_4	rel_0	type0	type0:node_0
type1	type1:node_85	rel_1	type2	type2:node_170
type0	type0:node_117	rel_1	type1	type1:node_49
type1	type1:node_1	rel_1	type1	type1:node_61
type2	type2:node_23	rel_2	type0	type0:node_6
type2	type2:node_2	rel_0	type1	type1:node_46
type1	type1:node_94	rel_2	type2	type2:node_2
type1	type1:node_1	rel_2	type0	type0:node_0
type1	type1:node_40	rel_3	type1	type1:node_148
type0	type0:node_15	rel_0	type1	type1:node_73
type1	type1:node_43	rel_1	type0	type0:node_114
type1	type1:node_1	rel_0	type2	type2:node_92
type1	type1:node_100	rel_0	type2	type2:node_38
type2	type2:node_11	rel_2	type1	type1:node_19
type0	type0:node_0	rel_0	type1	type1:node_55
type1	type1:node_121	rel_0	type2	type2:node_110
type1	type1:node_19	rel_3	type0	type0:node_12
type2	type2:node_71	rel_2	type1	type1:node_19
type0	type0:node_48	rel_3	type1	type1:node_154
type2	type2:node_23	rel_2	type1	type1:node_112
type0	type0:node_9	rel_0	type2	type2:node_5
type1	type1:node_7	rel_3	type0	type0:node_21
type0	type0:node_39	rel_2	type0	type0:node_60
type0	type0:node_0	rel_1	type2	type2:node_122
type2	type2:node_26	rel_2	type0	type0:node_12
type2	type2:node_11	rel_2	type0	type0:node_135
type0	type0:node_36	rel_1	type0	type0:node_30
type0	type0:node_0	rel_3	type0	type0:node_75
type0	type0:node_36	rel_3	type2	type2:node_5
type1	type1:node_55	rel_0	type2	type2:node_26
type1	type1:node_1	rel_1	type1	type1:node_4
type2	type2:node_8	rel_3	type2	type2:node_41
type0	type0:node_36	rel_2	type2	type2:node_11
type0	type0:node_12	rel_2	type0	type0:node_21
type2	type2:node_5	rel_1	type1	type1:node_1
type0	type0:node_9	rel_1	type1	type1:node_82
type0	type0:node_3	rel_2	type2	type2:node_80
type1	type1:node_76	rel_2	type2	type2:node_185
type2	type2:node_188	rel_2	type0	type0:node_114
type1	type1:node_4	rel_0	type0	type0:node_3
type2	type2:node_71	rel_0	type1	type1:node_1
type1	type1:node_184	rel_1	type0	type0:node_36
type2	type2:node_53	rel_0	type1	type1:node_85
type0	type0:node_132	rel_3	type1	type1:node_40
type1	type1:node_25	rel_0	type2	type2:node_11
type2	type2:node_5	rel_0	type1	type1:node_127
type2	type2:node_110	rel_0	type1	type1:node_16
type1	type1:node_40	rel_1	type2	type2:node_65
type2	type2:node_2	rel_2	type2	type2:node_38
type0	type0:node_0	rel_3	type2	type2:node_5
type1	type1:node_46	rel_1	type2	type2:node_98
type0	type0:node_93	rel_3	type2	type2:node_14
type2	type2:node_8	rel_3	type1	type1:node_43
type2	type2:node_8	rel_0	type1	type1:node_49
type1	type1:node_169	rel_1	type1	type1:node_4
type0	type0:node_6	rel_1	type0	type0:node_0
type2	type2:node_2	rel_0	type0	type0:node_0
type2	type2:node_17	rel_3	type0	type0:node_66
type1	type1:node_7	rel_2	type2	type2:node_5
type1	type1:node_70	rel_1	type1	type1:node_22
type0	type0:node_156	rel_1	type1	type1:node_97
type0	type0:node_18	rel_1	type2	type2:node_35
type2	type2:node_149	rel_0	type1	type1:node_112
type0	type0:node_0	rel_2	type0	type0:node_99
type2	type2:node_20	rel_2	type2	type2:node_23
type0	type0:node_69	rel_3	type1	type1:node_166
type2	type2:node_20	rel_3	type2	type2:node_44
type1	type1:node_79	rel_0	type1	type1:node_46
type1	type1:node_1	rel_0	type0	type0:node_177
type1	type1:node_199	rel_2	type1	type1:node_61
type1	type1:node_40	rel_1	type1	type1:node_88
type0	type0:node_24	rel_2	type2	type2:node_56
type0	type0:node_3	rel_3	type0	type0:node_42
type1	type1:node_181	rel_3	type2	type2:node_23
type1	type1:node_10	rel_1	type1	type1:node_61
type1	type1:node_10	rel_2	type1	type1:node_67
type2	type2:node_59	rel_0	type1	type1:node_16
type1	type1:node_22	rel_2	type0	type0:node_9
type1	type1:node_1	rel_0	type2	type2:node_92
type1	type1:node_58	rel_3	type1	type1:node_34
type0	type0:node_0	rel_3	type0	type0:node_30
type2	type2:node_50	rel_1	type0	type0:node_87
type0	type0:node_6	rel_2	type1	type1:node_1
type2	type2:node_20	rel_0	type2	type2:node_68
type0	type0:node_0	rel_1	type0	type0:node_51
type0	type0:node_72	rel_0	type0	type0:node_9
type0	type0:node_36	rel_0	type1	type1:node_1
type1	type1:node_22	rel_1	type1	type1:node_1
type0	type0:node_27	rel_2	type2	type2:node_74
type2	type2:node_17	rel_3	type1	type1:node_25
type2	type2:node_5	rel_3	type0	type0:node_36
type0	type0:node_3	rel_1	type0	type0:node_45
type2	type2:node_128	rel_3	type1	type1:node_7
type2	type2:node_11	rel_2	type1	type1:node_97
type1	type1:node_109	rel_2	type1	type1:node_7
type2	type2:node_116	rel_3	type2	type2:node_41
type2	type2:node_128	rel_3	type0	type0:node_21
type2	type2:node_11	rel_3	type0	type0:node_36
type1	type1:node_22	rel_1	type0	type0:node_9
type2	type2:node_188	rel_3	type2	type2:node_5
type2	type2:node_5	rel_0	type0	type0:node_93
type0	type0:node_9	rel_3	type0	type0:node_24
type2	type2:node_14	rel_1	type2	type2:node_59
type0	type0:node_27	rel_2	type0	type0:node_0
type1	type1:node_130	rel_3	type0	type0:node_132
type1	type1:node_1	rel_0	type0	type0:node_150
type0	type0:node_75	rel_1	type2	type2:node_17
type0	type0:node_0	rel_2	type2	type2:node_95
type2	type2:node_11	rel_0	type1	type1:node_67
type2	type2:node_122	rel_3	type0	type0:node_123
type2	type2:node_173	rel_3	type0	type0:node_51
type2	type2:node_131	rel_0	type0	type0:node_0
type2	type2:node_5	rel_2	type2	type2:node_65
type0	type0:node_198	rel_3	type2	type2:node_83
type0	type0:node_186	rel_0	type1	type1:node_88
type2	type2:node_20	rel_0	type1	type1:node_67
type0	type0:node_0	rel_2	type1	type1:node_100
type0	type0:node_12	rel_1	type1	type1:node_19
type2	type2:node_32	rel_1	type2	type2:node_38
type2	type2:node_2	rel_3	type0	type0:node_0
type1	type1:node_49	rel_1	type2	type2:node_5
type2	type2:node_5	rel_3	type2	type2:node_53
type0	type0:node_6	rel_3	type0	type0:node_0
type1	type1:node_145	rel_1	type0	type0:node_63
type0	type0:node_0	rel_2	type0	type0:node_168
type2	type2:node_53	rel_2	type0	type0:node_18
type1	type1:node_22	rel_3	type2	type2:node_8
type0	type0:node_123	rel_3	type1	type1:node_1
type0	type0:node_39	rel_2	type1	type1:node_40
type0	type0:node_0	rel_3	type2	type2:node_113
type1	type1:node_7	rel_0	type2	type2:node_38
type0	type0:node_150	rel_2	type2	type2:node_83
type0	type0:node_93	rel_2	type1	type1:node_4
type1	type1:node_4	rel_2	type0	type0:node_3
type0	type0:node_63	rel_1	type0	type0:node_75
type0	type0:node_51	rel_0	type2	type2:node_146
type0	type0:node_9	rel_2	type2	type2:node_20
type1	type1:node_79	rel_2	type1	type1:node_1
type1	type1:node_10	rel_1	type2	type2:node_17
type1	type1:node_1	rel_2	type1	type1:node_34
type2	type2:node_32	rel_1	type1	type1:node_151
type0	type0:node_6	rel_3	type0	type0:node_111
type0	type0:node_180	rel_2	type2	type2:node_8
type1	type1:node_103	rel_0	type2	type2:node_23
type2	type2:node_2	rel_3	type0	type0:node_180
type0	type0:node_180	rel_2	type1	type1:node_103
type1	type1:node_1	rel_2	type0	type0:node_15
type0	type0:node_33	rel_2	type1	type1:node_22
type0	type0:node_42	rel_2	type2	type2:node_110
type1	type1:node_1	rel_0	type2	type2:node_5
type1	type1:node_49	rel_2	type2	type2:node_167
type2	type2:node_152	rel_0	type1	type1:node_4
type2	type2:node_53	rel_2	type2	type2:node_23
type2	type2:node_56	rel_0	type1	type1:node_1
type0	type0:node_168	rel_3	type2	type2:node_8
type1	type1:node_1	rel_1	type2	type2:node_5
type0	type0:node_15	rel_3	type1	type1:node_13
type0	type0:node_42	rel_3	type2	type2:node_77
type0	type0:node_57	rel_3	type1	type1:node_115
type2	type2:node_164	rel_2	type1	type1:node_7
type1	type1:node_4	rel_1	type2	type2:node_20
type1	type1:node_124	rel_2	type1	type1:node_1
type1	type1:node_34	rel_2	type0	type0:node_186
type0	type0:node_0	rel_0	type1	type1:node_7
type2	type2:node_170	rel_0	type0	type0:node_111
type2	type2:node_59	rel_0	type0	type0:node_54
type0	type0:node_0	rel_1	type1	type1:node_10
type1	type1:node_97	rel_1	type0	type0:node_3
type0	type0:node_42	rel_1	type2	type2:node_107
type1	type1:node_10	rel_0	type2	type2:node_2
type1	type1:node_7	rel_1	type1	type1:node_190
type1	type1:node_34	rel_0	type2	type2:node_101
type2	type2:node_59	rel_0	type0	type0:node_0
type0	type0:node_12	rel_2	type1	type1:node_97
type0	type0:node_0	rel_1	type0	type0:node_6
type0	type0:node_81	rel_0	type1	type1:node_31
type0	type0:node_24	rel_0	type1	type1:node_94
type0	type0:node_21	rel_0	type1	type1:node_4
type2	type2:node_77	rel_2	type2	type2:node_149
type1	type1:node_22	rel_0	type1	type1:node_178
type1	type1:node_199	rel_3	type0	type0:node_120
type2	type2:node_65	rel_3	type2	type2:node_26
type0	type0:node_0	rel_1	type0	type0:node_0
type0	type0:node_0	rel_2	type1	type1:node_7
type2	type2:node_14	rel_2	type2	type2:node_44
type0	type0:node_21	rel_0	type1	type1:node_46
type0	type0:node_99	rel_1	type1	type1:node_1
type1	type1:node_19	rel_3	type1	type1:node_139
type2	type2:node_11	rel_3	type0	type0:node_21
type0	type0:node_78	rel_2	type0	type0:node_9
type0	type0:node_60	rel_1	type1	type1:node_13
type2	type2:node_65	rel_0	type0	type0:node_24
type0	type0:node_114	rel_0	type1	type1:node_1
type1	type1:node_82	rel_1	type1	type1:node_13
type1	type1:node_37	rel_2	type0	type0:node_42
type1	type1:node_61	rel_3	type2	type2:node_17
type1	type1:node_130	rel_2	type0	type0:node_75
type0	type0:node_45	rel_1	type0	type0:node_12
type2	type2:node_2	rel_0	type1	type1:node_25
type2	type2:node_11	rel_0	type1	type1:node_37
type1	type1:node_88	rel_3	type1	type1:node_40
type0	type0:node_120	rel_0	type1	type1:node_184
type2	type2:node_47	rel_2	type1	type1:node_58
type0	type0:node_0	rel_2	type0	type0:node_6
type2	type2:node_155	rel_1	type2	type2:node_11
type1	type1:node_130	rel_3	type2	type2:node_38
type0	type0:node_0	rel_0	type0	type0:node_81
type1	type1:node_1	rel_3	type2	type2:node_32
type0	type0:node_18	rel_2	type2	type2:node_11
type0	type0:node_9	rel_0	type1	type1:node_10
type2	type2:node_137	rel_0	type2	type2:node_2
type2	type2:node_62	rel_3	type0	type0:node_6
type2	type2:node_26	rel_2	type2	type2:node_20
type1	type1:node_4	rel_2	type2	type2:node_29
type1	type1:node_19	rel_3	type1	type1:node_7
type2	type2:node_32	rel_1	type2	type2:node_8
type0	type0:node_15	rel_0	type0	type0:node_45
type0	type0:node_3	rel_1	type0	type0:node_168
type2	type2:node_89	rel_0	type1	type1:node_7
type0	type0:node_0	rel_1	type2	type2:node_83
type1	type1:node_1	rel_1	type0	type0:node_33
type1	type1:node_28	rel_2	type1	type1:node_115
type0	type0:node_0	rel_0	type1	type1:node_127
type1	type1:node_19	rel_0	type1	type1:node_22
type1	type1:node_127	rel_3	type1	type1:node_40
type0	type0:node_72	rel_0	type2	type2:node_17
type1	type1:node_16	rel_1	type2	type2:node_179
type0	type0:node_102	rel_2	type1	type1:node_49
type1	type1:node_1	rel_1	type2	type2:node_119
type1	type1:node_19	rel_0	type1	type1:node_16
type0	type0:node_15	rel_2	type0	type0:node_9
type1	type1:node_4	rel_0	type1	type1:node_94
type2	type2:node_29	rel_1	type1	type1:node_1
type0	type0:node_147	rel_1	type2	type2:node_11
type2	type2:node_5	rel_1	type2	type2:node_2
type2	type2:node_2	rel_0	type2	type2:node_2
type0	type0:node_3	rel_3	type2	type2:node_92
type2	type2:node_23	rel_3	type2	type2:node_38
type1	type1:node_64	rel_2	type1	type1:node_136
type2	type2:node_128	rel_1	type0	type0:node_51
type2	type2:node_20	rel_2	type2	type2:node_23
type1	type1:node_100	rel_2	type1	type1:node_43
type2	type2:node_29	rel_3	type0	type0:node_9
type0	type0:node_0	rel_2	type1	type1:node_13
type0	type0:node_0	rel_0	type2	type2:node_128
type0	type0:node_48	rel_3	type2	type2:node_29
type2	type2:node_41	rel_0	type2	type2:node_173
type0	type0:node_21	rel_1	type0	type0:node_105
type0	type0:node_9	rel_1	type0	type0:node_24
type1	type1:node_175	rel_2	type0	type0:node_21
type0	type0:node_189	rel_1	type0	type0:node_0
type0	type0:node_0	rel_3	type2	type2:node_71
type1	type1:node_31	rel_2	type2	type2:node_47
type1	type1:node_13	rel_3	type1	type1:node_7
type2	type2:node_92	rel_0	type0	type0:node_63
type2	type2:node_98	rel_0	type1	type1:node_55
type1	type1:node_10	rel_3	type1	type1:node_37
type1	type1:node_7	rel_1	type1	type1:node_76
type1	type1:node_10	rel_1	type2	type2:node_41
type0	type0:node_153	rel_3	type0	type0:node_9
type1	type1:node_1	rel_0	type2	type2:node_71
type0	type0:node_9	rel_2	type2	type2:node_14
type2	type2:node_107	rel_0	type1	type1:node_61
type1	type1:node_55	rel_2	type0	type0:node_18
type0	type0:node_0	rel_1	type0	type0:node_9
type2	type2:node_11	rel_1	type2	type2:node_89
type1	type1:node_4	rel_0	type2	type2:node_2
type2	type2:node_8	rel_0	type1	type1:node_97
type2	type2:node_59	rel_1	type1	type1:node_133
type2	type2:node_44	rel_1	type2	type2:node_2
type0	type0:node_114	rel_1	type1	type1:node_91
type0	type0:node_75	rel_2	type0	type0:node_0
type0	type0:node_63	rel_3	type2	type2:node_5
type2	type2:node_47	rel_3	type1	type1:node_85
type2	type2:node_5	rel_3	type2	type2:node_5
type2	type2:node_146	rel_3	type0	type0:node_3
type1	type1:node_22	rel_3	type1	type1:node_7
type1	type1:node_28	rel_1	type0	type0:node_18
type0	type0:node_108	rel_1	type0	type0:node_102
type0	type0:node_132	rel_3	type0	type0:node_0
type0	type0:node_132	rel_0	type0	type0:node_36
type0	type0:node_72	rel_0	type0	type0:node_30
type1	type1:node_7	rel_2	type1	type1:node_88
type0	type0:node_21	rel_3	type0	type0:node_30
type1	type1:node_1	rel_3	type0	type0:node_150
type2	type2:node_137	rel_3	type1	type1:node_160
type0	type0:node_0	rel_1	type1	type1:node_28
type2	type2:node_14	rel_1	type0	type0:node_0
type0	type0:node_0	rel_2	type1	type1:node_160
type2	type2:node_98	rel_2	type2	type2:node_2
type0	type0:node_153	rel_1	type0	type0:node_24
type0	type0:node_87	rel_0	type2	type2:node_23
type0	type0:node_147	rel_1	type0	type0:node_0
type1	type1:node_115	rel_3	type2	type2:node_35
type1	type1:node_1	rel_2	type1	type1:node_7
type1	type1:node_1	rel_3	type2	type2:node_5
type0	type0:node_0	rel_3	type2	type2:node_116
type2	type2:node_44	rel_1	type0	type0:node_0
type2	type2:node_74	rel_0	type1	type1:node_7
type0	type0:node_48	rel_3	type2	type2:node_5
type0	type0:node_3	rel_2	type0	type0:node_60
type0	type0:node_0	rel_0	type1	type1:node_31
type0	type0:node_15	rel_3	type0	type0:node_24
type2	type2:node_188	rel_0	type2	type2:node_5
type0	type0:node_12	rel_1	type0	type0:node_0
type1	type1:node_79	rel_2	type0	type0:node_51
type1	type1:node_1	rel_2	type0	type0:node_12
type2	type2:node_107	rel_3	type2	type2:node_2
type2	type2:node_188	rel_1	type1	type1:node_25
type1	type1:node_106	rel_3	type0	type0:node_0
type0	type0:node_0	rel_1	type0	type0:node_3
type0	type0:node_138	rel_2	type0	type0:node_9
type0	type0:node_30	rel_3	type1	type1:node_193
type2	type2:node_5	rel_1	type1	type1:node_85
type1	type1:node_7	rel_0	type1	type1:node_127
type0	type0:node_129	rel_0	type1	type1:node_10
type2	type2:node_101	rel_3	type2	type2:node_20
type1	type1:node_82	rel_3	type1	type1:node_142
type2	type2:node_11	rel_3	type0	type0:node_3
type1	type1:node_13	rel_2	type2	type2:node_101
type0	type0:node_102	rel_0	type2	type2:node_77
type1	type1:node_19	rel_1	type1	type1:node_196
type2	type2:node_35	rel_0	type0	type0:node_9
type1	type1:node_10	rel_3	type2	type2:node_8
type0	type0:node_45	rel_3	type0	type0:node_18
type0	type0:node_12	rel_2	type0	type0:node_0
type0	type0:node_48	rel_0	type1	type1:node_19
type0	type0:node_0	rel_2	type2	type2:node_53
type2	type2:node_29	rel_1	type0	type0:node_84
type1	type1:node_172	rel_3	type2	type2:node_2
type0	type0:node_0	rel_2	type0	type0:node_0
type0	type0:node_12	rel_0	type2	type2:node_170
type1	type1:node_46	rel_2	type0	type0:node_63
type1	type1:node_13	rel_1	type1	type1:node_88
type2	type2:node_32	rel_2	type1	type1:node_16
type2	type2:node_5	rel_1	type1	type1:node_1
type0	type0:node_27	rel_0	type2	type2:node_14
type0	type0:node_6	rel_3	type0	type0:node_6
type1	type1:node_4	rel_3	type2	type2:node_47
type0	type0:node_3	rel_0	type1	type1:node_1
type0	type0:node_21	rel_3	type0	type0:node_144
type0	type0:node_198	rel_2	type1	type1:node_106
type0	type0:node_60	rel_2	type0	type0:node_72
type2	type2:node_140	rel_1	type2	type2:node_122
type0	type0:node_99	rel_0	type2	type2:node_29
type1	type1:node_190	rel_1	type0	type0:node_99
type2	type2:node_98	rel_2	type0	type0:node_0
type2	type2:node_23	rel_1	type0	type0:node_189
type2	type2:node_47	rel_2	type1	type1:node_1
type1	type1:node_16	rel_3	type2	type2:node_74
type1	type1:node_31	rel_0	type1	type1:node_91
type1	type1:node_1	rel_0	type0	type0:node_9
type0	type0:node_21	rel_2	type1	type1:node_64
type1	type1:node_1	rel_1	type2	type2:node_113
type0	type0:node_90	rel_0	type1	type1:node_1
type0	type0:node_114	rel_2	type0	type0:node_30
type2	type2:node_2	rel_1	type0	type0:node_9
type2	type2:node_11	rel_2	type0	type0:node_165
type0	type0:node_120	rel_2	type2	type2:node_5
type1	type1:node_1	rel_0	type2	type2:node_8
type1	type1:node_28	rel_1	type2	type2:node_2
type2	type2:node_2	rel_2	type2	type2:node_50
type1	type1:node_118	rel_0	type2	type2:node_38
type0	type0:node_0	rel_2	type2	type2:node_170
type2	type2:node_56	rel_3	type0	type0:node_90
type1	type1:node_49	rel_2	type0	type0:node_0
type0	type0:node_54	rel_1	type2	type2:node_8
type1	type1:node_103	rel_2	type2	type2:node_65
type0	type0:node_21	rel_1	type0	type0:node_66
type2	type2:node_20	rel_1	type1	type1:node_25
type2	type2:node_11	rel_2	type2	type2:node_2
type1	type1:node_79	rel_3	type0	type0:node_126
type1	type1:node_1	rel_0	type1	type1:node_13
type0	type0:node_9	rel_2	type2	type2:node_23
type0	type0:node_21	rel_0	type2	type2:node_2
type1	type1:node_7	rel_3	type2	type2:node_14
type2	type2:node_5	rel_1	type2	type2:node_128
type2	type2:node_107	rel_2	type0	type0:node_162
type0	type0:node_3	rel_3	type2	type2:node_2
type0	type0:node_27	rel_0	type0	type0:node_9
type1	type1:node_1	rel_3	type0	type0:node_15
type0	type0:node_180	rel_2	type1	type1:node_4
type0	type0:node_0	rel_3	type1	type1:node_7
type1	type1:node_7	rel_0	type0	type0:node_0
type1	type1:node_19	rel_2	type1	type1:node_136
type2	type2:node_89	rel_3	type1	type1:node_13
type0	type0:node_0	rel_2	type2	type2:node_38
type0	type0:node_36	rel_3	type0	type0:node_0
type2	type2:node_89	rel_0	type1	type1:node_7
